time (s),target_x (mm),target_y (mm),target_z (mm),joint_hip (deg),joint_shoulder (deg),joint_knee (deg),servo_hip (deg),servo_shoulder (deg),servo_knee (deg)
0.0,0.0,-50.0,229.0,5.583150537107256,90.0,169.30025916731785,95.58315053710726,90.0,199.30025916731785
0.0,0.0,-40.0,239.0,5.232182951909889,90.0,169.53563409618022,95.23218295190989,90.0,169.53563409618022
0.0,0.0,40.0,239.0,5.232182951909889,90.0,169.53563409618022,84.76781704809011,90.0,190.46436590381978
0.0,0.0,40.0,239.0,5.232182951909889,90.0,169.53563409618022,84.76781704809011,90.0,190.46436590381978
0.02,0.0,-49.993977856,228.9704914944,5.66862873676962,89.99849306160222,169.1364866027442,95.66862873676962,90.00150693839778,199.1364866027442
0.02,0.0,-40.0,238.9644693504,5.32438886457046,90.0,169.3512222708591,95.32438886457047,90.0,169.3512222708591
0.02,0.0,40.0,238.9644693504,5.32438886457046,90.0,169.3512222708591,84.67561113542953,90.0,190.6487777291409
0.02,0.0,40.0,238.9644693504,5.32438886457046,90.0,169.3512222708591,84.67561113542953,90.0,190.6487777291409
0.04,0.0,-49.954747391999994,228.77826222080003,6.19679867843265,89.98866658293203,168.12457816150604,96.19679867843266,90.01133341706797,198.12457816150604
0.04,0.0,-40.0,238.7330096128,5.88992700409701,90.0,168.220145991806,95.889927004097,90.0,168.220145991806
0.04,0.0,40.0,238.7330096128,5.88992700409701,90.0,168.220145991806,84.110072995903,90.0,191.779854008194
0.04,0.0,40.0,238.7330096128,5.88992700409701,90.0,168.220145991806,84.110072995903,90.0,191.779854008194
0.06,0.0,-49.856811007999994,228.2983739392,7.352361827279987,89.96406156009255,165.91094355064325,97.35236182727999,90.03593843990745,195.91094355064325
0.06,0.0,-40.0,238.15518494719998,7.108648021815505,90.0,165.782703956369,97.1086480218155,90.0,165.782703956369
0.06,0.0,40.0,238.15518494719998,7.108648021815505,90.0,165.782703956369,82.8913519781845,90.0,194.217296043631
0.06,0.0,40.0,238.15518494719998,7.108648021815505,90.0,165.782703956369,82.8913519781845,90.0,194.217296043631
0.08,0.0,-49.682412544,227.44382146560002,9.054280643066427,89.91998374556754,162.65152515645426,99.05428064306642,90.08001625443246,192.65152515645426
0.08,0.0,-40.0,237.12623400959998,8.875483453355386,90.0,162.24903309328923,98.87548345335539,90.0,162.24903309328923
0.08,0.0,40.0,237.12623400959998,8.875483453355386,90.0,162.24903309328923,81.12451654664461,90.0,197.75096690671077
0.08,0.0,40.0,237.12623400959998,8.875483453355386,90.0,162.24903309328923,81.12451654664461,90.0,197.75096690671077
0.1,0.0,-49.42080000000001,226.16192,11.134097972110146,89.85322443830457,158.67003411982452,101.13409797211014,90.14677556169543,188.67003411982452
0.1,0.0,-40.0,235.58272,11.00975980375667,90.0,157.98048039248667,101.00975980375667,90.0,157.98048039248667
0.1,0.0,40.0,235.58272,11.00975980375667,90.0,157.98048039248667,78.99024019624333,90.0,202.01951960751333
0.1,0.0,40.0,235.58272,11.00975980375667,90.0,157.98048039248667,78.99024019624333,90.0,202.01951960751333
0.12000000000000001,0.0,-49.067488256000004,224.4306924544,13.448766227621844,89.76182655490128,154.2416117458359,103.44876622762185,90.23817344509872,184.2416117458359
0.12000000000000001,0.0,-40.0,233.4981807104,13.367026708967732,90.0,153.26594658206454,103.36702670896773,90.0,153.26594658206454
0.12000000000000001,0.0,40.0,233.4981807104,13.367026708967732,90.0,153.26594658206454,76.63297329103227,90.0,206.73405341793546
0.12000000000000001,0.0,40.0,233.4981807104,13.367026708967732,90.0,153.26594658206454,76.63297329103227,90.0,206.73405341793546
0.14,0.0,-48.623521792000005,222.25525678079998,15.896340906713492,89.6449109916823,149.56264430129593,105.89634090671349,90.3550890083177,179.56264430129593
0.14,0.0,-40.0,230.87877857279997,15.846875432127112,90.0,148.3062491357458,105.8468754321271,90.0,148.3062491357458
0.14,0.0,40.0,230.87877857279997,15.846875432127112,90.0,148.3062491357458,74.1531245678729,90.0,211.6937508642542
0.14,0.0,40.0,230.87877857279997,15.846875432127112,90.0,148.3062491357458,74.1531245678729,90.0,211.6937508642542
0.16,0.0,-48.094737408,219.6642132992,18.404289112148415,89.50256471661059,144.77307026598314,108.40428911214842,90.49743528338941,174.77307026598314
0.16,0.0,-40.0,227.7589507072,18.378275182979383,90.0,143.24344963404124,108.37827518297938,90.0,143.24344963404124
0.16,0.0,40.0,227.7589507072,18.378275182979383,90.0,143.24344963404124,71.62172481702062,90.0,216.75655036595876
0.16,0.0,40.0,227.7589507072,18.378275182979383,90.0,143.24344963404124,71.62172481702062,90.0,216.75655036595876
0.18,0.0,-47.491026944000005,216.70603202560002,20.91843233066533,89.33578391705684,139.9774802941262,110.91843233066533,90.66421608294316,169.9774802941262
0.18,0.0,-40.0,224.1970589696,20.908038985127124,90.00000000000001,138.18392202974576,110.90803898512712,89.99999999999999,138.18392202974576
0.18,0.0,40.0,224.1970589696,20.908038985127124,90.00000000000001,138.18392202974576,69.09196101487288,90.00000000000001,221.81607797025424
0.18,0.0,40.0,224.1970589696,20.908038985127124,90.00000000000001,138.18392202974576,69.09196101487288,90.00000000000001,221.81607797025424
0.19999999999999998,0.0,-46.8256,213.44544000000002,23.39601351462787,89.14646030891537,135.2583201728248,113.39601351462787,90.85353969108463,165.2583201728248
0.19999999999999998,0.0,-40.0,220.27104,23.39403028653548,90.0,133.21193942692906,113.39403028653548,90.0,133.21193942692906
0.19999999999999998,0.0,40.0,220.27104,23.39403028653548,90.0,133.21193942692906,66.60596971346452,90.0,226.78806057307094
0.19999999999999998,0.0,40.0,220.27104,23.39403028653548,90.0,133.21193942692906,66.60596971346452,90.0,226.78806057307094
0.21999999999999997,0.0,-46.114246656,209.9598086144,25.801669684559403,88.93739457894738,130.6835333817627,115.8016696845594,91.06260542105262,160.6835333817627
0.21999999999999997,0.0,-40.0,216.0740552704,25.80134376488677,90.0,128.39731247022647,115.80134376488677,90.0,128.39731247022647
